"TIME","MAGN"
26.94,57.0577421346131
26.95,57.1219227836389
26.963,57.162904547005
26.973,57.2453941924588
26.985,57.2044715253974
26.995,57.1878073762231
27.008,57.4832176595917
27.031,57.8003703491595
27.043,57.8573137122698
27.049,57.4902165589938
27.052,57.1678586488947
27.06,57.054113567735
27.081,57.1021562640151
27.101,57.1106724373825
27.109,57.0778320037648
27.118,57.3285828034324
27.128,57.7224636731663
27.138,57.9772988979307
27.149,57.9799264832235
27.157,58.1706138226167
27.168,58.0211774376391
27.178,57.9541170884347
27.189,57.8523511298374
27.2,57.9146057786807
27.21,57.7079459974967
27.223,57.4974523892146
27.23,57.2283665457961
27.239,57.0297345689071
27.249,56.990713333402
27.259,56.9127965070247
27.269,56.9792656915654
27.279,56.9404156772674
27.289,57.0262412184075
27.299,57.0692082584821
27.309,57.1552504696638
27.32,57.2028326440221
27.329,57.2876854677338
27.34,57.2108558863613
27.35,57.2993100961957
27.36,57.2474412637805
27.371,57.4846786652757
27.382,57.7211440353533
27.392,57.590621523821
27.402,57.8954472519213
27.412,58.1547638848272
27.421,58.1246639775233
27.433,58.0997593045789
27.443,58.0256206881926
27.453,57.7675162829423
27.463,57.6138139902229
27.472,57.6394030264887
27.482,57.4359017731941
27.495,57.2875831878078
27.504,57.5528968645367
27.514,57.6319816811812
27.525,57.6763938388142
27.535,57.7733989393042
27.546,58.1836062069893
27.555,58.2878096174492
27.566,58.518192950996
27.577,58.5851743724468
27.586,58.5409178481171
27.597,58.5933416652438
27.607,58.8313930865146
27.618,59.0266756433055
27.625,58.8944036496678
27.64,58.6114389965815
27.649,58.8086808005417
27.668,58.9334237720837
27.68,58.6898961172194
27.691,58.8119354383105
27.701,58.9462811592046
27.711,59.2435716449473
27.724,59.2894449396349
27.735,59.3021263320296
27.745,59.336796920208
27.754,59.311215739521
27.766,59.2766619864007
27.777,59.2922120202139
27.785,59.1856850302503
27.798,59.1137013517171
27.804,58.9608251829128
27.817,58.7717047672602
27.826,58.6651648126893
27.837,58.5394498394032
27.85,58.8023038451726
27.871,58.8140940272823
27.88,58.6827407548421
27.889,58.6042074001517
27.902,58.548324057995
27.914,58.5803401321638
27.923,58.4810666476767
27.933,58.4258678262463
27.944,58.3194998478211
27.952,58.3619163603287
27.964,58.4224245260328
27.975,58.8008755780898
27.985,58.955657330319
27.993,59.0180388207707
28.003,59.2997549531193
28.015,59.3276455899777
28.024,59.6051132978539
28.034,59.6838349660107
28.045,59.672805782869
28.065,59.5485621153022
28.068,59.7799676417611
28.077,59.639378507409
28.083,59.557679500632
28.095,59.6197259197826
28.105,59.5167387169358
28.114,59.3136195890118
28.124,59.3545359471372
28.135,59.2725102281825
28.144,59.1149238242764
28.156,59.4554389332885
28.166,59.4268852246187
28.176,59.5630574475488
28.187,59.4213634772882
28.195,59.1089433799996
28.206,59.1990155112397
28.216,59.5155901319142
28.228,59.5604341194723
28.237,59.4391101254048
28.247,59.3335710727915
28.258,59.0022179138208
28.268,59.1896448924979
28.277,59.4141318416755
28.287,59.3038718698029
28.297,59.2207865744791
28.31,59.4139017297299
28.319,59.6710383058649
28.329,59.6817078341429
28.339,59.5994769796682
28.359,59.5526618317771
28.37,59.3311021935376
28.38,59.2265578625839
28.39,59.1110580813776
28.4,58.9481697659054
28.411,58.9945376179015
28.419,59.2499340716933
28.429,59.2044260380928
28.442,59.3449595058418
28.451,59.7181858293602
28.473,59.7769944251131
28.481,59.7894090746848
28.493,59.7448350278081
28.502,59.7703286547765
28.524,59.7448350278081
28.534,59.6979702858481
28.545,59.5591552051404
28.554,59.3936155028468
28.566,59.1612600229238
28.575,59.1267507668906
28.586,59.1032266991405
28.596,58.8332521836079
28.611,58.8692937786755
28.623,58.847824142019
28.635,58.8603352224569
28.647,58.9436303810683
28.652,59.2732351593027
28.66,59.2525381840306
28.666,59.2088464673988
28.677,59.5785655143693
28.688,59.2430441592091
28.697,59.2282726512432
28.709,59.2210833973003
28.718,59.2129367199432
28.729,59.2990962199256
28.739,59.2337134788965
28.75,59.1857180301971
28.759,59.3607219674761
28.769,59.6731985484271
28.779,59.6075708278739
28.788,59.750130752995
28.799,59.7173681812921
28.808,59.6370532890417
28.818,59.6760460214147
28.828,59.8275190129927
28.84,59.7475483283624
28.851,59.7629758399797
28.859,59.9098606762693
28.872,59.902427173279
28.879,59.9519664502341
28.889,59.9447988256696
28.9,59.9627488529337
28.91,59.9016446456189
28.921,59.9745063026783
28.931,60.018161313889
28.94,59.8337540607306
28.952,59.6816096569957
28.963,59.7150132923036
28.974,59.6524438937752
28.985,59.7466657019452
28.994,59.8765983607118
